rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
"BNY MELLON, NATIONAL ASSOCIATION","BNY MELLON, NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,13.28233528137207,-25.384021759033203
BRANCH BANKING AND TRUST COMPANY,BRANCH BANKING AND TRUST COMPANY,Large,2010,2019,10,2,Quality Improvers,Large - Quality Improvers,10.694092750549316,-25.154319763183594
BUSEY BANK,BUSEY BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,10.800406455993652,-25.25670051574707
"CADENCE BANK, N.A.","CADENCE BANK, N.A.",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,10.399619102478027,-25.830963134765625
"CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION","CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,10.539597511291504,-26.463987350463867
"CAPITAL ONE, NATIONAL ASSOCIATION","CAPITAL ONE, NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,13.458853721618652,-25.82514190673828
"CHASE BANK USA, NATIONAL ASSOCIATION","CHASE BANK USA, NATIONAL ASSOCIATION",Large,2010,2019,10,2,Quality Improvers,Large - Quality Improvers,11.12729263305664,-26.153125762939453
"CITIBANK, N.A.","CITIBANK, N.A.",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,11.763045310974121,-26.718124389648438
CITIZENS BANK OF PENNSYLVANIA,CITIZENS BANK OF PENNSYLVANIA,Large,2010,2018,9,2,Quality Improvers,Large - Quality Improvers,12.890643119812012,-25.898218154907227
CITY NATIONAL BANK,CITY NATIONAL BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,12.74072551727295,-26.93589210510254
CITY NATIONAL BANK OF FLORIDA,CITY NATIONAL BANK OF FLORIDA,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,12.7200288772583,-25.49631690979004
COMERICA BANK,COMERICA BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,11.521377563476562,-26.274959564208984
