rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
"FARMERS STATE BANK OF ALICEVILLE, KANSAS, THE","FARMERS STATE BANK OF ALICEVILLE, KANSAS, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.4264438152313232,8.533634185791016
"FARMERS STATE BANK OF ALTO PASS, ILL.","FARMERS STATE BANK OF ALTO PASS, ILL.",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.098042011260986,7.109832763671875
"FARMERS STATE BANK OF BLUE MOUND, THE","FARMERS STATE BANK OF BLUE MOUND, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-0.8073461055755615,3.208942174911499
"FARMERS STATE BANK OF BRUSH, THE","FARMERS STATE BANK OF BRUSH, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.628270387649536,1.447513222694397
FARMERS STATE BANK OF CALHAN,FARMERS STATE BANK OF CALHAN,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.704947471618652,3.2545371055603027
FARMERS STATE BANK OF CANTON,FARMERS STATE BANK OF CANTON,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.143983840942383,3.16229510307312
FARMERS STATE BANK OF EMDEN,FARMERS STATE BANK OF EMDEN,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-1.0247459411621094,3.007498264312744
FARMERS STATE BANK OF HAMEL,FARMERS STATE BANK OF HAMEL,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.2095248699188232,2.2305057048797607
FARMERS STATE BANK OF HOFFMAN,FARMERS STATE BANK OF HOFFMAN,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.8646445274353027,1.7290623188018799
FARMERS STATE BANK OF MEDORA,FARMERS STATE BANK OF MEDORA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.7420434951782227,4.587182998657227
FARMERS STATE BANK OF MUNITH,FARMERS STATE BANK OF MUNITH,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.653182506561279,2.9074862003326416
"FARMERS STATE BANK OF OAKLEY, KANSAS, THE","FARMERS STATE BANK OF OAKLEY, KANSAS, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.2952200174331665,6.963595390319824
FARMERS STATE BANK OF TRIMONT,FARMERS STATE BANK OF TRIMONT,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.708752155303955,3.7042975425720215
"FARMERS STATE BANK OF TURTON, THE","FARMERS STATE BANK OF TURTON, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.9484169483184814,3.072474241256714
FARMERS STATE BANK OF UNDERWOOD,FARMERS STATE BANK OF UNDERWOOD,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.9843807220458984,4.675869464874268
FARMERS STATE BANK OF WATKINS,FARMERS STATE BANK OF WATKINS,Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,2.892587423324585,3.4892828464508057
"FARMERS STATE BANK OF WAUPACA, THE","FARMERS STATE BANK OF WAUPACA, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.964291095733643,4.596843242645264
FARMERS STATE BANK OF WESTERN ILLINOIS,FARMERS STATE BANK OF WESTERN ILLINOIS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.998962640762329,2.1435797214508057
"FARMERS STATE BANK, ALLEN, OKLAHOMA","FARMERS STATE BANK, ALLEN, OKLAHOMA",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.6988519430160522,6.384444236755371
"FARMERS STATE BANK, INC","FARMERS STATE BANK, INC",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.294803142547607,3.2042436599731445
"FARMERS STATE BANK, S/B","FARMERS STATE BANK, S/B",Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,-0.004820744041353464,5.357931137084961
"FARMERS STATE BANK, THE","FARMERS STATE BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.700251579284668,5.418457984924316
FARMERS STATE BANK-HILLSBORO,FARMERS STATE BANK-HILLSBORO,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.784933567047119,5.535338401794434
FARMERS TRUST & SAVINGS BANK,FARMERS TRUST & SAVINGS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.3543388843536377,4.182728290557861
FARMERS TRUST AND SAVINGS BANK,FARMERS TRUST AND SAVINGS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.1068050861358643,5.571536064147949
FARMERS-MERCHANTS BANK & TRUST COMPANY,FARMERS-MERCHANTS BANK & TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.4885714054107666,5.5945048332214355
FARMERS-MERCHANTS NATIONAL BANK OF PAXTON,FARMERS-MERCHANTS NATIONAL BANK OF PAXTON,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,4.2529191970825195,2.9857163429260254
FARMINGTON STATE BANK,FARMINGTON STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.4852334260940552,8.871342658996582
"FAUQUIER BANK, THE","FAUQUIER BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.6688172817230225,3.702355146408081
"FAYETTE COUNTY NATIONAL BANK OF FAYETTEVILLE, THE","FAYETTE COUNTY NATIONAL BANK OF FAYETTEVILLE, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.7619926929473877,3.057058811187744
"FAYETTE SAVINGS BANK, SSB","FAYETTE SAVINGS BANK, SSB",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.1030321791768074,6.754877090454102
FAYETTEVILLE BANK,FAYETTEVILLE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.825527667999268,3.843137741088867
FBT BANK & MORTGAGE,FBT BANK & MORTGAGE,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.3069355487823486,5.599825382232666
"FCN BANK, NATIONAL ASSOCIATION","FCN BANK, NATIONAL ASSOCIATION",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.951223134994507,5.5300116539001465
FEDERATED BANK,FEDERATED BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.40950345993042,6.5068182945251465
FEDERATION BANK,FEDERATION BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.285337448120117,4.338352203369141
FELICIANA BANK & TRUST COMPANY,FELICIANA BANK & TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.3536484241485596,4.891397476196289
"FIDELITY BANK OF FLORIDA, NATIONAL ASSOCIATION","FIDELITY BANK OF FLORIDA, NATIONAL ASSOCIATION",Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,5.640100002288818,8.375659942626953
FIDELITY BANK OF TEXAS,FIDELITY BANK OF TEXAS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.126511573791504,3.597550868988037
FIDELITY FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELAWARE,FIDELITY FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELAWARE,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,1.5692039728164673,7.981481552124023
FIDELITY NATIONAL BANK,FIDELITY NATIONAL BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,0.9047501087188721,4.09116268157959
FIDELITY SAVINGS & LOAN ASSOCIATION OF BUCKS COUNTY,FIDELITY SAVINGS & LOAN ASSOCIATION OF BUCKS COUNTY,Small,2011,2020,10,1,Traditional Majority,Small - Traditional Majority,1.107631802558899,7.721147060394287
FIDELITY STATE BANK AND TRUST COMPANY,FIDELITY STATE BANK AND TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.762824058532715,5.175225257873535
"FIDELITY STATE BANK AND TRUST COMPANY, THE","FIDELITY STATE BANK AND TRUST COMPANY, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.678666114807129,1.2881786823272705
FIELDPOINT PRIVATE BANK & TRUST,FIELDPOINT PRIVATE BANK & TRUST,Small,2012,2021,11,1,Traditional Majority,Small - Traditional Majority,0.09621862322092056,5.653982162475586
FIFTH DISTRICT SAVINGS BANK,FIFTH DISTRICT SAVINGS BANK,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,1.3334256410598755,6.945721626281738
"FINANCE FACTORS, LIMITED","FINANCE FACTORS, LIMITED",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.0067033767700195,8.525588035583496
FINANCIAL FEDERAL BANK,FINANCIAL FEDERAL BANK,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,1.5027191638946533,3.6705121994018555
FINANCIAL SECURITY BANK,FINANCIAL SECURITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.017767429351807,5.324031352996826
"FIRST & FARMERS NATIONAL BANK, INC.","FIRST & FARMERS NATIONAL BANK, INC.",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.999608993530273,6.0047078132629395
FIRST & PEOPLES BANK AND TRUST COMPANY,FIRST & PEOPLES BANK AND TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.747666358947754,7.247507095336914
FIRST ADVANTAGE BANK,FIRST ADVANTAGE BANK,Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,0.6133521199226379,3.9124317169189453
FIRST ALLIANCE BANK,FIRST ALLIANCE BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,3.9794111251831055,6.469459533691406
FIRST AMERICAN BANK AND TRUST COMPANY,FIRST AMERICAN BANK AND TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.762792587280273,5.9755635261535645
"FIRST AMERICAN BANK, NATIONAL ASSOCIATION","FIRST AMERICAN BANK, NATIONAL ASSOCIATION",Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,3.1902408599853516,6.565075397491455
FIRST AMERICAN INTERNATIONAL BANK,FIRST AMERICAN INTERNATIONAL BANK,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,5.280642509460449,7.961198329925537
FIRST AMERICAN NATIONAL BANK,FIRST AMERICAN NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.272319793701172,5.294983386993408
FIRST AMERICAN STATE BANK,FIRST AMERICAN STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.5529192686080933,5.519530296325684
"FIRST AND FARMERS BANK, THE","FIRST AND FARMERS BANK, THE",Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,2.518101215362549,7.519869327545166
FIRST BANK,FIRST BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.615232944488525,6.6784844398498535
FIRST BANK & TRUST COMPANY,FIRST BANK & TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.936244964599609,4.049705982208252
FIRST BANK AND TRUST COMPANY,FIRST BANK AND TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.4829533100128174,5.811219692230225
FIRST BANK AND TRUST COMPANY OF ILLINOIS,FIRST BANK AND TRUST COMPANY OF ILLINOIS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.613398313522339,4.55729341506958
"FIRST BANK AND TRUST COMPANY OF MURPHYSBORO, THE","FIRST BANK AND TRUST COMPANY OF MURPHYSBORO, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.1160316467285156,5.131742000579834
FIRST BANK AND TRUST OF CHILDRESS,FIRST BANK AND TRUST OF CHILDRESS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.747309684753418,2.568862199783325
FIRST BANK AND TRUST OF FULLERTON,FIRST BANK AND TRUST OF FULLERTON,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-0.3167671859264374,3.693567991256714
FIRST BANK AND TRUST OF MEMPHIS,FIRST BANK AND TRUST OF MEMPHIS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.1640729904174805,6.578031539916992
FIRST BANK BLUE EARTH,FIRST BANK BLUE EARTH,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.191271781921387,3.1091861724853516
FIRST BANK HAMPTON,FIRST BANK HAMPTON,Small,2013,2021,9,1,Traditional Majority,Small - Traditional Majority,0.1227472648024559,6.351205825805664
FIRST BANK KANSAS,FIRST BANK KANSAS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.2842767238616943,5.037140369415283
"FIRST BANK OF BALDWIN, THE","FIRST BANK OF BALDWIN, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.879662036895752,2.7888119220733643
FIRST BANK OF BERNE,FIRST BANK OF BERNE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.4148576259613037,3.708045721054077
FIRST BANK OF BOAZ,FIRST BANK OF BOAZ,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.4479448795318604,6.370316982269287
"FIRST BANK OF CELESTE, THE","FIRST BANK OF CELESTE, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.220829963684082,3.031825304031372
FIRST BANK OF CHANDLER,FIRST BANK OF CHANDLER,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,1.4225053787231445,8.581669807434082
"FIRST BANK OF CHARLESTON, INC.","FIRST BANK OF CHARLESTON, INC.",Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,1.5633474588394165,6.998016834259033
FIRST BANK OF COASTAL GEORGIA,FIRST BANK OF COASTAL GEORGIA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.318541049957275,4.123584747314453
"FIRST BANK OF GREENWICH, THE","FIRST BANK OF GREENWICH, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.2874228954315186,7.255856513977051
FIRST BANK OF LINDEN,FIRST BANK OF LINDEN,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.178564548492432,3.0996315479278564
FIRST BANK OF MANHATTAN,FIRST BANK OF MANHATTAN,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.155618667602539,2.3516786098480225
FIRST BANK OF MULESHOE,FIRST BANK OF MULESHOE,Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,3.87382173538208,5.667632102966309
FIRST BANK OF NEWTON,FIRST BANK OF NEWTON,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,0.3009493947029114,7.30462646484375
FIRST BANK OF OHIO,FIRST BANK OF OHIO,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-0.3774901330471039,6.342869758605957
"FIRST BANK OF OKARCHE, THE","FIRST BANK OF OKARCHE, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.8895413875579834,2.491203546524048
FIRST BANK OF OWASSO,FIRST BANK OF OWASSO,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.6199575662612915,3.6280908584594727
FIRST BANK OF PIKE,FIRST BANK OF PIKE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.4272990226745605,3.9227986335754395
FIRST BANK OF TENNESSEE,FIRST BANK OF TENNESSEE,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,1.8211805820465088,6.8046722412109375
FIRST BANK OF THE PALM BEACHES,FIRST BANK OF THE PALM BEACHES,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,5.460857391357422,7.93029260635376
FIRST BANK OF UTICA,FIRST BANK OF UTICA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.6261906623840332,4.104994773864746
"FIRST BANK, UPPER MICHIGAN","FIRST BANK, UPPER MICHIGAN",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.70320463180542,5.032495021820068
FIRST BETHANY BANK & TRUST,FIRST BETHANY BANK & TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.5529563426971436,3.9244163036346436
FIRST CAHAWBA BANK,FIRST CAHAWBA BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.760016918182373,5.194880962371826
FIRST CAPITAL BANK,FIRST CAPITAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.5925612449646,7.165503025054932
FIRST CAROLINA BANK,FIRST CAROLINA BANK,Small,2013,2021,10,1,Traditional Majority,Small - Traditional Majority,2.6458895206451416,6.970000267028809
FIRST CENTRAL BANK,FIRST CENTRAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.6867071986198425,4.937531471252441
FIRST CENTRAL BANK MCCOOK,FIRST CENTRAL BANK MCCOOK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.102447032928467,7.009238243103027
"FIRST CENTRAL NATIONAL BANK OF SAINT PARIS, THE","FIRST CENTRAL NATIONAL BANK OF SAINT PARIS, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.205467462539673,4.851482391357422
FIRST CENTRAL SAVINGS BANK,FIRST CENTRAL SAVINGS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.438177108764648,8.326714515686035
FIRST CENTRAL STATE BANK,FIRST CENTRAL STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.4979400634765625,3.6286728382110596
FIRST CENTURY BANK,FIRST CENTURY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.2539472579956055,7.238331317901611
"FIRST CENTURY BANK, NATIONAL ASSOCIATION","FIRST CENTURY BANK, NATIONAL ASSOCIATION",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.9356217384338379,7.425100803375244
FIRST CHATHAM BANK,FIRST CHATHAM BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.493640899658203,5.886134624481201
FIRST CHOICE BANK,FIRST CHOICE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.208556175231934,6.661392688751221
FIRST CITIZENS BANK,FIRST CITIZENS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.1478586196899414,6.440577030181885
FIRST CITIZENS BANK OF BUTTE,FIRST CITIZENS BANK OF BUTTE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.250879764556885,2.7967967987060547
"FIRST CITIZENS BANK OF POLSON, NATIONAL ASSOCIATION","FIRST CITIZENS BANK OF POLSON, NATIONAL ASSOCIATION",Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,5.539046764373779,7.406428813934326
"FIRST CITIZENS NATIONAL BANK OF UPPER SANDUSKY, THE","FIRST CITIZENS NATIONAL BANK OF UPPER SANDUSKY, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.679255485534668,5.33254337310791
FIRST CITIZENS STATE BANK,FIRST CITIZENS STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.288343906402588,3.77694034576416
FIRST CITRUS BANK,FIRST CITRUS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.473326206207275,5.806957721710205
FIRST CITY BANK,FIRST CITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.9062774181365967,6.155935287475586
FIRST CITY BANK OF FLORIDA,FIRST CITY BANK OF FLORIDA,Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,5.90415096282959,5.894522666931152
FIRST COLONY BANK OF FLORIDA,FIRST COLONY BANK OF FLORIDA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.679501473903656,3.9359004497528076
FIRST COLORADO NATIONAL BANK,FIRST COLORADO NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.007440567016602,3.9643449783325195
FIRST COLUMBIA BANK & TRUST COMPANY,FIRST COLUMBIA BANK & TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.521620988845825,5.500410556793213
FIRST COMMERCE BANK,FIRST COMMERCE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.5676504373550415,5.036534786224365
FIRST COMMERCIAL BANK,FIRST COMMERCIAL BANK,Small,2010,2021,13,1,Traditional Majority,Small - Traditional Majority,5.053670406341553,6.219576358795166
FIRST COMMERCIAL BANK (U.S.A),FIRST COMMERCIAL BANK (U.S.A),Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.5448071956634521,7.194647789001465
"FIRST COMMERCIAL BANK, NATIONAL ASSOCIATION","FIRST COMMERCIAL BANK, NATIONAL ASSOCIATION",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.861720085144043,4.605317115783691
"FIRST COMMONWEALTH BANK OF PRESTONSBURG, INC., THE","FIRST COMMONWEALTH BANK OF PRESTONSBURG, INC., THE",Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,1.660913109779358,3.893500804901123
FIRST COMMUNITY BANK,FIRST COMMUNITY BANK,Small,2010,2021,18,1,Traditional Majority,Small - Traditional Majority,5.02691650390625,6.738776206970215
FIRST COMMUNITY BANK AND TRUST,FIRST COMMUNITY BANK AND TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.721431732177734,8.040355682373047
FIRST COMMUNITY BANK OF CENTRAL ALABAMA,FIRST COMMUNITY BANK OF CENTRAL ALABAMA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.881688594818115,4.553795337677002
FIRST COMMUNITY BANK OF CULLMAN,FIRST COMMUNITY BANK OF CULLMAN,Small,2011,2021,11,1,Traditional Majority,Small - Traditional Majority,0.9095553755760193,6.797806262969971
FIRST COMMUNITY BANK OF EAST TENNESSEE,FIRST COMMUNITY BANK OF EAST TENNESSEE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.522958278656006,5.223388195037842
FIRST COMMUNITY BANK OF EASTERN ARKANSAS,FIRST COMMUNITY BANK OF EASTERN ARKANSAS,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,2.6286065578460693,6.831647872924805
FIRST COMMUNITY BANK OF THE OZARKS,FIRST COMMUNITY BANK OF THE OZARKS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.465694904327393,6.0702080726623535
FIRST COMMUNITY BANK XENIA-FLORA,FIRST COMMUNITY BANK XENIA-FLORA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.0437581539154053,2.9761791229248047
FIRST COMMUNITY NATIONAL BANK,FIRST COMMUNITY NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,6.0356764793396,5.146474838256836
FIRST COVENANT BANK,FIRST COVENANT BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,4.217676162719727,1.1995309591293335
FIRST CREDIT BANK,FIRST CREDIT BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.4650245904922485,8.873510360717773
FIRST DELTA BANK,FIRST DELTA BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,4.387922763824463,3.5817408561706543
FIRST EAGLE BANK,FIRST EAGLE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.6694364547729492,8.101348876953125
FIRST ENTERPRISE BANK,FIRST ENTERPRISE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.569340229034424,4.381302833557129
FIRST EXCHANGE BANK,FIRST EXCHANGE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.65248441696167,3.698737859725952
FIRST FARMBANK,FIRST FARMBANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.3161333799362183,5.61691427230835
FIRST FARMERS & MERCHANTS BANK,FIRST FARMERS & MERCHANTS BANK,Small,2013,2021,9,1,Traditional Majority,Small - Traditional Majority,2.742914915084839,3.069516658782959
FIRST FARMERS & MERCHANTS NATIONAL BANK,FIRST FARMERS & MERCHANTS NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.9814562797546387,4.643094539642334
FIRST FARMERS & MERCHANTS STATE BANK,FIRST FARMERS & MERCHANTS STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.802146553993225,5.74084997177124
FIRST FARMERS & MERCHANTS STATE BANK OF GRAND MEADOW,FIRST FARMERS & MERCHANTS STATE BANK OF GRAND MEADOW,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.507974624633789,3.1089255809783936
"FIRST FARMERS NATIONAL BANK OF WAURIKA, THE","FIRST FARMERS NATIONAL BANK OF WAURIKA, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.565340042114258,2.6531264781951904
FIRST FARMERS STATE BANK,FIRST FARMERS STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.5882905721664429,4.942348003387451
FIRST FEDERAL BANK,FIRST FEDERAL BANK,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,4.401577949523926,4.222614765167236
"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB","FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-0.945866048336029,3.1456716060638428
FIRST FEDERAL BANK OF OHIO,FIRST FEDERAL BANK OF OHIO,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.7498927116394043,3.172804832458496
FIRST FEDERAL BANK OF WISCONSIN,FIRST FEDERAL BANK OF WISCONSIN,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,1.4410309791564941,8.81973648071289
"FIRST FEDERAL COMMUNITY BANK, NATIONAL ASSOCIATION","FIRST FEDERAL COMMUNITY BANK, NATIONAL ASSOCIATION",Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,3.252129554748535,4.928683757781982
"FIRST FEDERAL COMMUNITY BANK, SSB","FIRST FEDERAL COMMUNITY BANK, SSB",Small,2013,2021,9,1,Traditional Majority,Small - Traditional Majority,1.2888333797454834,5.857412338256836
FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF PASCAGOULA-MOSS POINT,FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF PASCAGOULA-MOSS POINT,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.4804742336273193,5.90142297744751
FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA,FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.614439010620117,4.067058563232422
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,0.19101545214653015,7.066891193389893
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF BATH,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF BATH,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,3.5312047004699707,2.4847030639648438
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTERBURG,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTERBURG,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,1.0780611038208008,8.036219596862793
